Facility ID,Facility Name,State,Region,Hospital Ownership,Hospital Type,Experience_Star,Readmission_Rate,HAI_SIR_Avg,MSPB,Quality,Value_Score,Focus_Flag
100022,JACKSON HEALTH SYSTEM,FL,South,Government - Hospital District or Authority,Acute Care Hospitals,3.0,16.8,0.5876666666666667,1.11,61.34410764255434,55.264961840139044,Low value (bottom 20%)
110073,DORMINY MEDICAL CENTER,GA,South,Government - Local,Acute Care Hospitals,,15.6,,0.88,48.684210526315795,55.32296650717704,Low value (bottom 20%)
100213,HCA FLORIDA BLAKE HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,16.4,0.14620000000000002,1.06,58.65103302669281,55.33116323272906,Low value (bottom 20%)
330208,ST JOHN'S RIVERSIDE HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,3.0,16.3,0.675,1.14,63.098074699643085,55.34918833302026,Low value (bottom 20%)
150090,FRANCISCAN HEALTH DYER,IN,Midwest,Voluntary non-profit - Church,Acute Care Hospitals,2.0,15.0,1.2435,1.07,59.275373246870764,55.39754509053342,Low value (bottom 20%)
330196,SOUTH BROOKLYN HEALTH,NY,Northeast,Voluntary non-profit - Other,Acute Care Hospitals,2.0,16.1,0.2732,1.07,59.32840697732869,55.44710932460625,Low value (bottom 20%)
310029,VIRTUA OUR LADY OF LOURDES HOSPITAL,NJ,Northeast,Government - State,Acute Care Hospitals,2.0,15.4,0.6516000000000001,1.09,60.49640577087417,55.50128969804969,Low value (bottom 20%)
110031,WELLSTAR SPALDING MEDICAL CENTER,GA,South,Proprietary,Acute Care Hospitals,2.0,15.4,1.6433333333333335,1.0,55.51106754469746,55.51106754469746,Low value (bottom 20%)
100269,HCA FLORIDA PALMS WEST HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,17.4,0.3333333333333333,0.96,53.32436870590996,55.546217401989544,Low value (bottom 20%)
180020,MIDDLESBORO ARH HOSPITAL,KY,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.6,0.463,1.09,60.56728497461419,55.56631649047173,Low value (bottom 20%)
290007,UNIVERSITY MEDICAL CENTER,NV,West,Voluntary non-profit - Other,Acute Care Hospitals,2.0,15.6,0.5726000000000001,1.08,60.01633740511738,55.570682782516094,Low value (bottom 20%)
390147,PENN HIGHLANDS MON VALLEY,PA,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,1.0,14.8,1.16025,0.97,53.904388478359216,55.57153451377239,Low value (bottom 20%)
